Common Name,Scientific Name,Class,Order,IUCN Status,Population Trend,Population Estimate,Primary Threat,Secondary Threat,Habitat,Region,Country,Endemic,Last Assessed
Green Sawfish,Pristis zijsron,Chondrichthyes,Rhinopristiformes,Critically Endangered,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Oceania,Australia,No,2013
Giant Manta Ray,Mobula birostris,Chondrichthyes,Myliobatiformes,Endangered,Decreasing,Unknown,Overfishing,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2019
Reef Manta Ray,Mobula alfredi,Chondrichthyes,Myliobatiformes,Vulnerable,Decreasing,Unknown,Overfishing,Bycatch,Coral reef,Worldwide,Worldwide,No,2019
Giant Freshwater Stingray,Urogymnus polylepis,Chondrichthyes,Myliobatiformes,Endangered,Decreasing,Unknown,Habitat loss,Overfishing,Freshwater river,Asia,Thailand; Cambodia; Indonesia,No,2021
West Indian Ocean Coelacanth,Latimeria chalumnae,Actinistia,Coelacanthiformes,Critically Endangered,Decreasing,<500,Bycatch,Habitat loss,Marine - coastal,Africa,Comoros; South Africa,No,2008
Indonesian Coelacanth,Latimeria menadoensis,Actinistia,Coelacanthiformes,Vulnerable,Unknown,Unknown,Bycatch,Habitat loss,Marine - coastal,Asia,Indonesia,Yes,2008
Beluga Sturgeon,Huso huso,Actinopterygii,Acipenseriformes,Critically Endangered,Decreasing,Unknown,Overfishing,Dams,Freshwater river,Europe,Russia; Iran; Azerbaijan,No,2022
Chinese Sturgeon,Acipenser sinensis,Actinopterygii,Acipenseriformes,Critically Endangered,Decreasing,<100,Dams,Pollution,Freshwater river,Asia,China,Yes,2022
European Sturgeon,Acipenser sturio,Actinopterygii,Acipenseriformes,Critically Endangered,Decreasing,<1000,Dams,Overfishing,Freshwater river,Europe,France; Germany,No,2022
Russian Sturgeon,Acipenser gueldenstaedtii,Actinopterygii,Acipenseriformes,Critically Endangered,Decreasing,Unknown,Overfishing,Dams,Freshwater river,Europe,Russia; Kazakhstan,No,2022
European Eel,Anguilla anguilla,Actinopterygii,Anguilliformes,Critically Endangered,Decreasing,Unknown,Dams,Overfishing,Freshwater river,Europe,Europe-wide,No,2020
Japanese Eel,Anguilla japonica,Actinopterygii,Anguilliformes,Endangered,Decreasing,Unknown,Overfishing,Dams,Freshwater river,Asia,Japan; China; Taiwan,No,2020
American Eel,Anguilla rostrata,Actinopterygii,Anguilliformes,Endangered,Decreasing,Unknown,Dams,Pollution,Freshwater river,North America,USA; Canada,No,2019
Southern Bluefin Tuna,Thunnus maccoyii,Actinopterygii,Perciformes,Endangered,Increasing,Unknown,Overfishing,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2021
Bigeye Tuna,Thunnus obesus,Actinopterygii,Perciformes,Vulnerable,Decreasing,Unknown,Overfishing,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2021
Atlantic Cod,Gadus morhua,Actinopterygii,Gadiformes,Vulnerable,Unknown,Unknown,Overfishing,Climate change,Marine - coastal,Europe,Norway; Canada; Iceland,No,2019
Nassau Grouper,Epinephelus striatus,Actinopterygii,Perciformes,Critically Endangered,Decreasing,Unknown,Overfishing,Habitat loss,Coral reef,North America,Bahamas; Cuba; Belize,No,2018
Humphead Wrasse,Cheilinus undulatus,Actinopterygii,Labriformes,Endangered,Decreasing,Unknown,Overfishing,Habitat loss,Coral reef,Asia,Indonesia; Philippines; Australia,No,2021
Bumphead Parrotfish,Bolbometopon muricatum,Actinopterygii,Labriformes,Vulnerable,Decreasing,Unknown,Overfishing,Habitat loss,Coral reef,Asia,Indonesia; Solomon Islands,No,2012
Mekong Giant Catfish,Pangasianodon gigas,Actinopterygii,Siluriformes,Critically Endangered,Decreasing,Unknown,Dams,Overfishing,Freshwater river,Asia,Thailand; Cambodia; Laos,No,2011
Devil's Hole Pupfish,Cyprinodon diabolis,Actinopterygii,Cyprinodontiformes,Critically Endangered,Stable,<200,Habitat loss,Climate change,Desert,North America,USA,Yes,2014
Knysna Seahorse,Hippocampus capensis,Actinopterygii,Syngnathiformes,Endangered,Decreasing,Unknown,Habitat loss,Pollution,Marine - coastal,Africa,South Africa,Yes,2017
White's Seahorse,Hippocampus whitei,Actinopterygii,Syngnathiformes,Endangered,Decreasing,Unknown,Habitat loss,Pollution,Marine - coastal,Oceania,Australia,Yes,2017
Staghorn Coral,Acropora cervicornis,Anthozoa,Scleractinia,Critically Endangered,Decreasing,Unknown,Climate change,Disease,Coral reef,North America,Caribbean; USA,No,2022
Elkhorn Coral,Acropora palmata,Anthozoa,Scleractinia,Critically Endangered,Decreasing,Unknown,Climate change,Disease,Coral reef,North America,Caribbean; USA,No,2022
Pillar Coral,Dendrogyra cylindrus,Anthozoa,Scleractinia,Critically Endangered,Decreasing,Unknown,Climate change,Disease,Coral reef,North America,Caribbean,No,2022
Migratory Monarch Butterfly,Danaus plexippus plexippus,Insecta,Lepidoptera,Vulnerable,Decreasing,Unknown,Habitat loss,Climate change,Grassland,North America,USA; Mexico; Canada,No,2022
Queen Alexandra's Birdwing,Ornithoptera alexandrae,Insecta,Lepidoptera,Endangered,Decreasing,Unknown,Deforestation,Illegal wildlife trade,Tropical forest,Oceania,Papua New Guinea,Yes,2018
Lord Howe Island Stick Insect,Dryococelus australis,Insecta,Phasmatodea,Critically Endangered,Stable,<50,Invasive species,Habitat loss,Island,Oceania,Australia,Yes,2017
Rusty Patched Bumble Bee,Bombus affinis,Insecta,Hymenoptera,Critically Endangered,Decreasing,Unknown,Disease,Agriculture,Grassland,North America,USA; Canada,No,2014
Franklin's Bumble Bee,Bombus franklini,Insecta,Hymenoptera,Critically Endangered,Decreasing,Unknown,Disease,Habitat loss,Grassland,North America,USA,Yes,2014
Hine's Emerald Dragonfly,Somatochlora hineana,Insecta,Odonata,Endangered,Decreasing,Unknown,Habitat loss,Pollution,Wetland,North America,USA,Yes,2018
Coconut Crab,Birgus latro,Malacostraca,Decapoda,Vulnerable,Decreasing,Unknown,Hunting,Habitat loss,Island,Oceania,Indo-Pacific islands,No,2018
Giant Clam,Tridacna gigas,Bivalvia,Cardiida,Vulnerable,Decreasing,Unknown,Overfishing,Climate change,Coral reef,Oceania,Australia; Philippines,No,1996
White Abalone,Haliotis sorenseni,Gastropoda,Lepetellida,Critically Endangered,Decreasing,Unknown,Overfishing,Disease,Marine - coastal,North America,USA; Mexico,No,2021
Polynesian Tree Snail,Partula nodosa,Gastropoda,Stylommatophora,Extinct in the Wild,Stable,0 (wild),Invasive species,Habitat loss,Island,Oceania,French Polynesia,Yes,2009
Freshwater Pearl Mussel,Margaritifera margaritifera,Bivalvia,Unionida,Endangered,Decreasing,Unknown,Pollution,Habitat loss,Freshwater river,Europe,Europe-wide; Russia,No,1996
Kauai Cave Wolf Spider,Adelocosa anops,Arachnida,Araneae,Endangered,Decreasing,<30,Habitat loss,Invasive species,Caves,Oceania,USA,Yes,1996
Wollemi Pine,Wollemia nobilis,Pinopsida,Araucariales,Critically Endangered,Stable,<100,Habitat loss,Disease,Temperate forest,Oceania,Australia,Yes,2011
Monkey Puzzle Tree,Araucaria araucana,Pinopsida,Araucariales,Endangered,Decreasing,Unknown,Logging,Climate change,Temperate forest,South America,Chile; Argentina,Yes,2013
Coast Redwood,Sequoia sempervirens,Pinopsida,Pinales,Endangered,Decreasing,Unknown,Logging,Climate change,Temperate forest,North America,USA,Yes,2013
Giant Sequoia,Sequoiadendron giganteum,Pinopsida,Pinales,Endangered,Decreasing,Unknown,Climate change,Habitat loss,Montane forest,North America,USA,Yes,2011
Ginkgo,Ginkgo biloba,Ginkgoopsida,Ginkgoales,Endangered,Stable,Unknown,Habitat loss,Logging,Temperate forest,Asia,China,Yes,2014
Wood's Cycad,Encephalartos woodii,Cycadopsida,Cycadales,Extinct in the Wild,Stable,0 (wild),Habitat loss,Illegal wildlife trade,Shrubland,Africa,South Africa,Yes,2010
Grandidier's Baobab,Adansonia grandidieri,Magnoliopsida,Malvales,Endangered,Decreasing,Unknown,Agriculture,Habitat loss,Shrubland,Africa,Madagascar,Yes,2016
Dragon Blood Tree,Dracaena cinnabari,Liliopsida,Asparagales,Vulnerable,Decreasing,Unknown,Climate change,Agriculture,Shrubland,Asia,Yemen,Yes,2004
Madagascar Rosewood,Dalbergia maritima,Magnoliopsida,Fabales,Critically Endangered,Decreasing,Unknown,Logging,Illegal wildlife trade,Tropical forest,Africa,Madagascar,Yes,2019
Big Leaf Mahogany,Swietenia macrophylla,Magnoliopsida,Sapindales,Vulnerable,Decreasing,Unknown,Logging,Deforestation,Tropical forest,South America,Brazil; Peru; Bolivia,No,1998
Brazilwood,Paubrasilia echinata,Magnoliopsida,Fabales,Endangered,Decreasing,Unknown,Logging,Habitat loss,Tropical forest,South America,Brazil,Yes,1998
Madagascar Ebony,Diospyros perrieri,Magnoliopsida,Ericales,Critically Endangered,Decreasing,Unknown,Logging,Habitat loss,Tropical forest,Africa,Madagascar,Yes,2018
Rajah Pitcher Plant,Nepenthes rajah,Magnoliopsida,Caryophyllales,Endangered,Stable,Unknown,Illegal wildlife trade,Habitat loss,Montane,Asia,Malaysia,Yes,2014
Attenborough's Pitcher Plant,Nepenthes attenboroughii,Magnoliopsida,Caryophyllales,Critically Endangered,Decreasing,<1000,Illegal wildlife trade,Mining,Montane,Asia,Philippines,Yes,2014
Corpse Flower,Amorphophallus titanum,Liliopsida,Alismatales,Endangered,Decreasing,<1000,Deforestation,Habitat loss,Tropical forest,Asia,Indonesia,Yes,2018
Rothschild's Slipper Orchid,Paphiopedilum rothschildianum,Liliopsida,Asparagales,Critically Endangered,Decreasing,<2000,Illegal wildlife trade,Habitat loss,Montane forest,Asia,Malaysia,Yes,2014
Chilean Wine Palm,Jubaea chilensis,Liliopsida,Arecales,Vulnerable,Decreasing,Unknown,Agriculture,Habitat loss,Shrubland,South America,Chile,Yes,1998
Hawaiian Silversword,Argyroxiphium sandwicense,Magnoliopsida,Asterales,Vulnerable,Decreasing,Unknown,Climate change,Invasive species,Montane,Oceania,USA,Yes,2016
Socotra Cucumber Tree,Dendrosicyos socotranus,Magnoliopsida,Cucurbitales,Vulnerable,Decreasing,Unknown,Agriculture,Climate change,Desert,Asia,Yemen,Yes,2004
St Helena Gumwood,Commidendrum robustum,Magnoliopsida,Asterales,Critically Endangered,Stable,~4000,Invasive species,Habitat loss,Shrubland,Africa,Saint Helena,Yes,2003
